,o_loc,d_loc,hbw,hbo,nhb,am,md,pm,rd
163,9,12,1205.25641026,1512.0,1673.02564103,675.333333333,1311.30769231,853.769230769,764.615384616
164,9,13,2720.71794872,6511.17948718,5175.94871795,1971.05128205,5556.30769231,3038.17948718,2421.71794872
165,9,14,1488.38461538,2964.87179487,3644.7948718,1144.43589744,2839.41025641,1741.84615385,1207.82051282
166,9,15,512.333333333,722.256410257,327.025641026,96.1538461538,579.692307692,577.025641025,299.41025641
167,9,16,1690.8974359,3874.92307692,2151.66666667,873.435897436,2716.12820513,2193.76923077,1455.05128205
168,9,17,84.9230769231,371.025641025,125.974358974,60.4615384616,204.051282051,209.512820513,122.358974359
169,9,18,1501.92307692,2815.20512821,1790.15384615,673.333333333,2283.84615385,1619.71794872,968.846153846
170,9,19,2186.46153846,4176.07692307,2808.66666667,1002.84615385,3402.43589744,2005.12820513,1578.28205128
171,10,1,17363.9230769,26018.5128205,6756.46153846,4668.1025641,17619.5128205,21413.3076923,14526.0769231
172,10,2,9652.87179487,16085.2051282,14873.5128205,5711.53846154,14798.4102564,4852.66666667,3372.20512821
173,10,3,2333.2051282,3590.43589744,1933.43589744,894.692307692,2371.1025641,2016.25641026,1145.51282051
174,10,4,8544.8974359,13359.1794872,7731.28205128,4140.1025641,9689.48717949,5684.48717949,4703.25641026
175,10,5,2918.02564102,4712.43589744,2676.94871795,1655.8974359,3153.8974359,1776.38461538,1438.20512821
176,10,6,3755.97435897,3901.56410256,2189.74358974,1910.28205128,2695.20512821,1881.61538462,1603.17948718
177,10,7,4651.15384615,6708.8974359,4431.56410256,2261.64102564,4914.38461539,2794.25641026,1783.1025641
178,10,8,7580.30769231,8756.74358974,4371.8974359,2549.92307692,6646.74358974,5396.66666667,4117.30769231
179,10,9,1748.97435897,3301.05128205,2499.23076923,1058.56410256,2876.69230769,1501.61538462,954.897435897
180,10,10,73147.5128205,84802.3076923,165655.794872,129446.615385,149881.358974,104792.897436,164522.846154
181,10,11,12935.1538462,26021.5641026,12102.2820513,6179.0,19923.948718,14767.051282,10167.3846154
182,10,12,12382.2820513,26170.5641026,19847.6153846,8944.43589744,20770.4871795,10879.8461538,8845.02564102
